image,left_detected,right_detected
5a8f9b5d-1fdfd2d4.jpg,True,True
5ae83f9c-da990b49.jpg,True,True
5b2b4881-67a6cb87.jpg,True,True
5b2fd56a-37759b05.jpg,True,True
5b4b0b07-2fb56b82.jpg,True,True
5bc44a50-c371c4d0.jpg,True,True
5c4004b7-bf3b7941.jpg,True,True
5c534f5f-a76c7f4b.jpg,True,True
5c5dc708-35460444.jpg,True,True
5da6c6b6-76c54605.jpg,True,True
5dc5141c-5890b5b1.jpg,True,True
5dd831da-bd00cf03.jpg,True,True
5dfb063f-7bd23d5c.jpg,True,True
5e0b701e-d443d8c2.jpg,True,True
5e26f49d-0bc53c7e.jpg,True,True
5e26f49d-9271bf00.jpg,True,True
5e625ec3-7b4fc682.jpg,True,True
5f9387ff-330136ae.jpg,True,True
5fa17a25-88b8e6b9.jpg,True,True
5fa422e1-2d8dd765.jpg,True,True
5fb2a702-f56a339c.jpg,True,True
6011831b-0992e205.jpg,True,True
60137cc0-428b8f5b.jpg,True,True
604b5b3e-3c2e6b6b.jpg,True,True
6092f5a2-424550ba.jpg,True,True
60ba25dd-6c0df417.jpg,True,True
60c678e7-4813ae0f.jpg,True,True
614ecada-16b0f8b6.jpg,True,True
61e4ad87-53ceb455.jpg,True,True
6240d7b3-b51b5788.jpg,True,True
62aefb36-b685117f.jpg,True,True
634c1785-3bb9a8a2.jpg,True,True
634c1785-aeb1652f.jpg,True,True
63f73472-028615f1.jpg,True,True
6485ad0a-245d1600.jpg,True,True
648dc925-e359dbec.jpg,True,True
65edc5a1-f309fed7.jpg,True,True
661381d9-1114a810.jpg,True,True
664cb246-f84cfaf4.jpg,True,True
675cf8fa-4b1ce8b9.jpg,True,True
67faeadf-eb09a636.jpg,True,True
691be377-5dbc29ee.jpg,True,True
692f1303-05178963.jpg,True,True
692f9b08-bdbbd729.jpg,True,True
69bfbe31-5ee2a642.jpg,True,True
69cf7667-68f59649.jpg,True,True
69cf7667-7eb40860.jpg,True,True
6a44fb9a-05a3dd18.jpg,True,True
6a793e80-4f5e207f.jpg,True,True
6a82c0d6-b31f6b90.jpg,True,True
6a8d218d-14e4fa28.jpg,True,True
6ad110c3-789e7724.jpg,True,True
6b15392a-3a1699fd.jpg,True,True
6b784eee-0a5a2c89.jpg,True,True
6bb5a881-15e5c2c4.jpg,True,True
6bd41587-d65ba5b4.jpg,True,True
6d0d7bef-fb11b6e1.jpg,True,True
6d57736c-a35808b9.jpg,True,True
6d8a6d94-00a7ad92.jpg,True,True
6eeed3fa-87a1b0c9.jpg,True,True
701992bd-8a457895.jpg,True,True
7171644d-4e74752e.jpg,True,True
7171644d-ee92c71e.jpg,True,True
72f22fa5-8af4615c.jpg,True,True
72fd00fe-aeadfc89.jpg,True,True
730c67a5-563e9b1f.jpg,True,True
738a2bcd-7a6fde0d.jpg,True,True
73aff960-d46366ec.jpg,True,True
73d338d6-edf0b3db.jpg,True,True
75ad1fff-77299093.jpg,True,True
75f5f52c-6b67e736.jpg,True,True
777005a8-14c739ad.jpg,True,True
7771e03b-832e52c0.jpg,True,True
7771e03b-a8f9d50c.jpg,True,True
7797fea2-c37f9856.jpg,True,True
77bdbeb0-edb0613f.jpg,True,True
77dca577-16a39ea0.jpg,True,True
77f810c4-43a39c1f.jpg,True,True
7814206e-8e991d51.jpg,True,True
7814206e-ea2508d0.jpg,True,True
79e177bc-4d5d3acc.jpg,True,True
7aa4ff0f-9d28d8a4.jpg,True,True
7ad1174c-373265eb.jpg,True,True
7b268b98-e0ec16c3.jpg,True,True
7c5a2048-332896ea.jpg,True,True
7c5d50c5-7292de37.jpg,True,True
7d1fe115-936a2f47.jpg,True,True
7dc2914d-a20a969a.jpg,True,True
7e4ab78b-4a62c63e.jpg,True,True
7e590c49-93f03732.jpg,True,True
7ed57d0a-d7bcc13d.jpg,True,True
7f0ef682-c93899df.jpg,True,True
7f4ac354-777de900.jpg,True,True
7f9bdf0d-c0e0061f.jpg,True,True
7fd14da9-a855494b.jpg,True,True
801bff84-a72998c7.jpg,True,True
8073de38-f7eab6ec.jpg,True,True
8082ea05-1a7bcd47.jpg,True,True
80ecebc0-ca9605f4.jpg,True,True
81ec3b39-1951f79e.jpg,True,True
82b14c0c-79b99258.jpg,True,True
82b5fc3b-90cadd1b.jpg,True,True
82f03471-8e304dd5.jpg,True,True
836fa13a-d6058a12.jpg,True,True
84fb3f59-7d5d1fa4.jpg,True,True
8542b4da-7795bcfd.jpg,True,True
85f3f250-1fef85ac.jpg,True,True
87ca2979-d5158824.jpg,True,True
889b7dda-77f16103.jpg,True,True
88dbf01a-d8b35dee.jpg,True,True
897223bc-6938f1ab.jpg,True,True
89b7454d-880eacbd.jpg,True,True
89e85e71-7dd0a7b6.jpg,True,True
8a4fbffe-47866ce9.jpg,True,True
8a76c101-8bcefc32.jpg,True,True
8b7ef6c4-6bbcf25f.jpg,True,True
8bac644e-e0437ead.jpg,False,True
8c94c649-8ba62efa.jpg,True,True
8c9bbaa9-34934b66.jpg,True,True
